word	segments	num_segments	sentence
maanantaihin	maanantai-hin	2	Minun täytyy palauttaa kirja kirjastoon ensi maanantaihin mennessä.
maanantaina	maanantai-na	2	Tapasin hänet maanantaina kaupungilla.
neuvottelut	neuvottelu-t	2	Neuvottelut alkoivat Säätytalolla maanantaina.
nousukiitoa	nousukiito-a	2	Lentokone oli menossa täyttä nousukiitoa, kun sen käskettiinkin palata takaisin.
ollutkaan	ollut-kaan	2	En ollutkaan niin väsynyt kuin luulin.
omasta	oma-sta	2	Omasta mielestäni tuo on kyllä ihan käypä suunnitelma.
onko	on-ko	2	Onko Suomessa kylmää kesäisin?
osakkeen	osakkee-n	2	Hän osti osakkeen uudesta tornitalosta.
päivää	päivä-ä	2	Hyvää päivää, kuinka voin auttaa?
palaverin	palaveri-n	2	Hän palasi kotiin tärkeän palaverin jälkeen.
palkata	palkat-a	2	Voimme palkata uuden työntekijän ensi viikolla.
parlamentin	parlamenti-n	2	Parlamentin jäsenet äänestivät uuden lain puolesta.
perussuomalaisen	perussuomalaise-n	2	Hän on perussuomalaisen puolueen jäsen.
perussuomalaisten	perussuomalais-ten	2	Perussuomalaisten kannatus on kasvanut viime kuukausina.
pienin	pieni-n	2	Euroopan pienin valtio lienee San Marino.
pitkän	pitkä-n	2	Hän on ollut poissa pitkän aikaa.
plakkariin	plakkari-in	2	Hän laittoi puhelimensa takaisin plakkariin.
prosenttiin	prosentti-in	2	Inflaatio nousi viiteen prosenttiin viime kuussa.
puolestaan	puolesta-an	2	Hänen puolestaan asialla ei ollut merkitystä.
ratkaisua	ratkaisu-a	2	Etsimme edelleen ongelmaan ratkaisua.
säätöä	säätö-ä	2	Tässä projektissa on ollut todella paljon säätöä.
salaukset	salaukse-t	2	Tietokoneiden salaukset ovat tärkeitä tietoturvan kannalta.
seitsemältä	seitsemä-ltä	2	Hän herää joka aamu seitsemältä.
silloisesta	silloise-sta	2	Hän muisti kuitenkin asioita silloisesta elämästään.
sosiaalisen	sosiaalise-n	2	Hän on erittäin aktiivinen sosiaalisen median käyttäjä.
S-ryhmän	S-ryhmän	2	S-ryhmän kaupat ovat suosittuja Suomessa.
suojattinsa	suojatti-nsa	2	Hän otti suojattinsa turvaan myrskyn alta.
suosituin	suositu-in	2	Hän on luokkansa suosituin opiskelija.
suuren	suure-n	2	Hän sai suuren kunnianosoituksen työstään.
taakseen	taakse-en	2	Hän katsoi taakseen ennen kuin ylitti tien.
tapahtunut	tapahtu-nut	2	Mitä on tapahtunut sinun päiväsi aikana?
tehdään	teh-dään	2	Huomenna tehdään suuri siivous.
tiiminä	tiimi-nä	2	Me työskentelemme tiiminä tämän projektin parissa.
tulevaksi	tuleva-ksi	2	Hän säilöi hilloa purnukoihin tulevaksi talveksi.
uraa	ura-a	2	Muutettuaan ulkomaille, hän teki uraa lääkärinä.
uudella	uude-lla	2	Hän osti uudella luottokortillaan uuden tietokoneen.
uusia	uusi-a	2	Hänellä on paljon uusia ideoita.
väen	väe-n	2	Väen määrä kasvoi nopeasti tapahtuman aikana.
vaivautunut	vaivautu-nut	2	Hän näytti vaivautuneelta koko illan.
valinnut	valin-nut	2	Olen valinnut sinut olemaan ystäväni.
vasemmistoliitolle	vasemmistoliito-lle	2	Anna äänesi Vasemmistoliitolle seuraavissa vaaleissa.
vasemmiston	vasemmisto-n	2	Vasemmiston ehdokas voitti vaalit.
vieraaksi	vieraa-ksi	2	Hän tunsi itsensä vieraaksi omassa kodissaan.
vuoksi	vuo-ksi	2	Hän joutui lähtemään töistä aikaisin sairauden vuoksi.
yksinkertaisella	yksinkertaise-lla	2	Voit ratkaista tämän ongelman yksinkertaisella tavalla.
yksinkertaista	yksin-kertaista	2	Tämä on hyvin yksinkertaista.
ymmärtänyt	ymmärtä-nyt	2	En ymmärtänyt kaikkea, mitä sanoit.
yöpaikka	yö-paikka	2	Tuolla saattaa olla seuraava yöpaikka.
äänestämään	äänestä-mä-än	3	Menemme huomenna äänestämään vaaleissa.
äänimäärän	ääni-määrä-n	3	Hän voitti vaalit suurella äänimäärän erolla.
aikoina	aiko-i-na	3	Viime aikoina olen lukenut paljon kirjoja.
aikojen	aiko-j-en	3	Tämä on parhaita hetkiä ihmisen elämässä.
ajateltua	ajatel-tu-a	3	Voikin olla paljon ajateltua vaikeampaa kiivetä vuoren päälle.
aktivoituneet	aktivoitu-nee-t	3	Immuunijärjestelmämme solut ovat aktivoituneet taistelemaan infektiota vastaan.
alapuolelle	ala-puole-lle	3	Hän asetti kirjan pöydän alapuolelle.
antavaa	anta-va-a	3	Tämä on antavaa ja otavaa suhdetta vaativa tilanne.
asioita	asio-i-ta	3	On monia asioita, joita en ymmärrä tässä maailmassa.
asuntolainaa	asunto-laina-a	3	Hän haki pankista asuntolainaa ostaa uuden talon.
eiköhän	ei-kö-hän	3	Eiköhän meidän pitäisi lähteä jo kotiin.
ensin	ens-i-n	3	Sinun täytyy ensin oppia kävelemään ennen kuin voit juosta.
europarlamentaarikkoa	euro-parlamentaarikko-a	3	Kansa äänesti entistä europarlamentaarikkoa sankoin joukoin.
europarlamenttipaikkaa	euro-parlamenttipaikka-a	3	Hän kampanjoi aktiivisesti saamatta kuitenkaan europarlamenttipaikkaa.
eurovaaleja	eurovaale-j-a	3	Eurovaaleja ei ole sopivaa jättää väliin.
hyvillä	hyv-i-llä	3	Olen hyvillä mielin, koska sain työpaikan.
itselleen	itse-lle-en	3	Hän osti itselleen uuden auton.
jääneet	jää-nee-t	3	Monet tehtävät ovat jääneet tekemättä.
jalkojen	jalko-j-en	3	Jalkojen anatomia eroaa huomattavasti esimerkiksi sisäelinten anatomiasta.
keräämää	kerää-mä-ä	3	Ihmisten keräämää kulttuuriperintöä osattiin siirtää eteenpäin jo ennen kirjoitustaidon kehittymistä.
keskiviikkona	keski-viikko-na	3	Tapasin hänet keskiviikkona kaupungilla.
keskuspankin	keskus-panki-n	3	Keskuspankin tehtävänä on säädellä maan rahapolitiikkaa.
kielitieteeseen	kieli-tietee-seen	3	Hänen mielenkiintonsa ja intohimonsa kohdistui erityisesti kielitieteeseen.
kokopitkän	koko-pitkä-n	3	Hän katsoi kokopitkän elokuvan ilman taukoja.
korkeimmillaankin	korkeimmilla-an-kin	3	Korkeimmillaankin hinta oli ainoastaan muutamia kymppejä.
kortein	korte-i-n	3	Isäni pelasi aina avoimin kortein.
koviksi	kov-i-ksi	3	Pakkasen vuoksi vesi muuttui koviksi jääkuutioiksi.
kymmenkertaisena	kymmen-kertaise-na	3	Hän palasi kotiin kymmenkertaisena mestarina.
kysymyksiä	kysymyks-i-ä	3	Minulla on muutamia kysymyksiä sinulle.
lähtevät	lähte-vä-t	3	Junat lähtevät asemalta tunnin välein.
liittymisestä	liitty-mise-stä	3	Hän kysyi minulta salaseuraan liittymisestä.
luokitellaankin	luokitel-laan-kin	3	Tehtävä ei ole monimutkainen ja se luokitellaankin usein helpoksi.
miltäköhän	miltä-kö-hän	3	Miltäköhän se maistuu?
monissa	mon-i-ssa	3	Monissa maissa on erilaisia kulttuureja ja tapoja.
nousseet	nous-see-t	3	Hinnat ovat nousseet viime kuukausina.
objektiivisemman	objektiivise-mma-n	3	Hän pyrkii saamaan objektiivisemman kuvan tilanteesta.
ollaankin	ol-laan-kin	3	Siellä ollaankin oltu valmiina jo hyvän aikaa.
omistavan	omista-va-n	3	Näin siellä auton omistavan miehen.
onkohan	on-ko-han	3	Onkohan hän jo saapunut?
päiviä	päiv-i-ä	3	Olen ollut täällä jo useita päiviä.
paljokohan	paljo-ko-han	3	Paljokohan toi kirja maksaa?
pitäisikö	pitä-isi-kö	3	Pitäisikö meidän mennä elokuviin tänä iltana?
prosenttiyksikköä	prosentti-yksikkö-ä	3	Inflaatio nousi viime kuussa kaksi prosenttiyksikköä.
puolueellisuusspekulaatioita	puolueellisuusspekulaatio-i-ta	3	Oikeudenkäyntiin liittyi mediajulkisuudesta johtuen lukuisia puolueellisuusspekulaatioita.
puoluekokouksessa	puolue-kokoukse-ssa	3	Hän puhui puoluekokouksessa ensimmäistä kertaa ehdokkaana.
rakensivat	rakens-i-vat	3	He rakensivat uuden talon kaupungin keskustaan.
satoihin	sato-i-hin	3	Hänellä on pääsy satoihin erilaisiin kirjoihin.
soitellaankin	soitel-laan-kin	3	Huomenna soitellaankin sitten pitkästä aikaa.
suhteutettuna	suhteutet-tu-na	3	Suhteutettuna väkilukuun, Suomessa on enemmän metsää kuin missään muussa Euroopan maassa.
tahtovat	tahto-va-t	3	Lapset tahtovat mennä ulos leikkimään.
tarkoitetut	tarkoitet-u-t	3	Opiskeluun tarkoitetut tilat löytyvät tuolta nurkan takaa.
tehtävätkin	tehtävä-t-kin	3	Tehtävätkin tuntuvat vaikealta, kun huoneessa on kuuma.
tehtäviä	tehtäv-i-ä	3	Ylioppilaskirjoituksissa oli viime vuonna paljon vaikeita tehtäviä.
tekemään	teke-mä-än	3	Hän meni keittiöön tekemään aamiaista.
tietokoneella	tieto-konee-lla	3	Hän työskentelee tietokoneella koko päivän.
tilanneet	tilan-nee-t	3	He ovat tilanneet kaiken tarvittavan.
todennäköisenä	toden-näköise-nä	3	Pidän hyvin todennäköisenä, että hän voittaa kilpailun.
toimiiko	toimi-i-ko	3	Toimiiko uusi tietokoneesi kunnolla?
toukokuun	touko-kuu-n	3	Toukokuun kymmenes päivä on äitienpäivä.
tulleet	tul-lee-t	3	Olemme tulleet juhlimaan kanssasi.
tuotevalikoiman	tuote-valikoima-n	3	Yrityksen laaja tuotevalikoiman houkuttelee monia asiakkaita.
tutkijanuraa	tutkijan-ura-a	3	Hän on luonut tutkijanuraa Englannissa.
uurnille	uurn-i-lle	3	Menimme uurnille laskemaan kukkia.
vaalikaudella	vaali-kaude-lla	3	Presidentti teki merkittäviä päätöksiä viime vaalikaudella.
vähäisiä	vähäis-i-ä	3	Hänellä on vain vähäisiä mahdollisuuksia voittaa peli.
vahvuuksia	vahvuuks-i-a	3	Jokaisella meistä on joitain vahvuuksia.
viestivät	viesti-vä-t	3	He viestivät minulle uutisia kotikaupungistani.
vuosista	vuos-i-sta	3	Kiitos ihanista vuosista opiskeluaikoinamme!
äännevaihteluiden	äänne-vaihtelu-i-den	4	Äännevaihteluiden ymmärtäminen on tärkeää suomen kielen oppimisessa.
aiheuttaakohan	aiheutta-a-ko-han	4	Aiheuttaakohan tämä lääke sivuvaikutuksia?
ajattelevia	ajattele-v-i-a	4	Hän vetää puoleensa samalla tavoin ajattelevia ihmisiä.
ajattelikohan	ajattel-i-ko-han	4	Ajattelikohan hän koskaan palata kotiin?
auttaisikohan	autta-isi-ko-han	4	Auttaisikohan se, jos soittaisin tekniseen tukeen?
ehtisköhän	eht-is-kö-hän	4	Ehtisköhän sitä vielä ostaa ruokaa ennen kaupan sulkemista?
ennallistamissääntelylle	ennallista-mis-sääntely-lle	4	Hallitus on asettanut uusia rajoituksia ennallistamissääntelylle.
esitutkintapöytäkirjat	esi-tutkintapöytä-kirja-t	4	Esitutkintapöytäkirjat ovat kaikkien nähtävillä osana oikeudenkäyntiä.
EU-vaalien	EU-vaal-i-en	4	EU-vaalien tulokset julkaistaan huomenna.
havaittuja	havait-tu-j-a	4	Hän on tutkinut havaittuja ilmiöitä luonnossa.
henkilötyövuoden	henkilö-työ-vuode-n	4	Yritys käytti viime vuonna yhteensä 500 henkilötyövuoden verran työvoimaa.
jäädäkseen	jääd-ä-kse-en	4	Hän opiskeli ahkerasti ranskaa jäädäkseen Kanadaan.
jaksaisikohan	jaksa-isi-ko-han	4	Jaksaisikohan hän kävellä koko matkan kotiin?
johtuisikohan	johtu-isi-ko-han	4	Johtuisikohan tämä ongelma vanhentuneesta ohjelmistosta?
johtuiskohan	johtu-is-ko-han	4	Johtuiskohan tämä ongelma vanhentuneesta ohjelmistosta?
kannattaisikohan	kannatta-isi-ko-han	4	Kannattaisikohan minun opiskella suomea?
kävisköhän	käv-is-kö-hän	4	Kävisköhän äidille, että kutsuisin hänet tänne väitöstilaisuuteeni.
kehitettyjen	kehitet-ty-j-en	4	Tämä ohjelmisto on yksi viimeisimmistä kehitettyjen joukossa.
kiusallaankin	kiusa-lla-an-kin	4	Hän teki sen kiusallaankin, vaikka tiesi sen olevan väärin.
kummallakohan	kumma-lla-ko-han	4	Kummallakohan puolella tie on kuoppaisempi?
kuulostipas	kuulost-i-pa-s	4	Kuulostipas mielenkiintoiselta!
kuulunkohan	kuulu-n-ko-han	4	Kuulunkohan minä tähän ryhmään?
lähteeköhän	lähte-e-kö-hän	4	Lähteeköhän tästä autosta rengas irti jos painan tuosta?
liikepankkien	liike-pankk-i-en	4	Liikepankkien rooli taloudessa on merkittävä.
listataanpas	lista-taan-pa-s	4	Listataanpas kaikki tehtävät, jotka meidän on vielä suoritettava.
loppuisikohan	loppu-isi-ko-han	4	Loppuisikohan tämä sade pian?
määrärahojen	määrä-raho-j-en	4	Hallitus keskustelee ensi viikolla määrärahojen jakamisesta eri ministeriöille.
mahdatkohan	mahda-t-ko-han	4	Mahdatkohan tietää, minne minun pitäisi mennä päästäkseni Helsinkiin?
mahtaisikohan	mahta-isi-ko-han	4	Mahtaisikohan hän tulla juhliin?
mahtaiskohan	mahta-is-ko-han	4	Mahtaiskohan hän tulla huomenna töihin?
merkitseeköhän	merkitse-e-kö-hän	4	Merkitseeköhän se, että suomen kieli on peräisin Siperiasta?
monenkohan	mone-n-ko-han	4	Monenkohan kerran olen unohtanut avaimeni kotiin?
muillekin	mu-i-lle-kin	4	Tämä paikka on tarkoitettu sinulle ja muillekin.
muistinkohan	muisti-n-ko-han	4	Muistinkohan sammuttaa kahvinkeittimen ennen kuin lähdin töihin?
näkeeköhän	näke-e-kö-hän	4	Näkeeköhän hän minut täältä?
näkyvimpiin	näkyv-imp-i-in	4	Hän nousi yrityksensä näkyvimpiin rooleihin.
ohittaakohan	ohitta-a-ko-han	4	Ohittaakohan hän minut tässä kilpailussa?
olikohan	ol-i-ko-han	4	Olikohan hän todella siellä?
ollaankohan	ol-laan-ko-han	4	Ollaankohan me jo myöhässä?
ollaanpas	ol-laan-pa-s	4	Ollaanpas me onnellisia tästä uudesta kodista.
oonkohan	oo-n-ko-han	4	Oonkohan unohtanut avaimeni kotiin?
osoittavinaan	osoitta-v-ina-an	4	Hän oli osoittavinaan oikeaan suuntaan.
otetaanpas	ote-taan-pa-s	4	Otetaanpas hetki rennosti ja mietitään tätä rauhassa.
otsallaankin	otsa-lla-an-kin	4	Hiki näkyi jo hänen otsallaankin.
päästäänköhän	pääs-tään-kö-hän	4	Päästäänköhän me tänään jo kotiin?
painaakohan	paina-a-ko-han	4	Painaakohan tuo nappi oikeasti jotain?
päivittäistavarakaupan	päivittäis-tavara-kaupa-n	4	Hän työskentelee päivittäistavarakaupan kassalla.
pidelläänköhän	pidel-lään-kö-hän	4	Pidelläänköhän tätä esinettä varovasti?
pidettyjen	pidet-ty-j-en	4	Tämä on jo pidettyjen konferenssien osoite.
presidentinvaaleissa	presidentin-vaale-i-ssa	4	Hän aikoo äänestää seuraavissa presidentinvaaleissa.
punaviinien	puna-viin-i-en	4	Punaviinien maistelu on yksi suosikkiharrastuksistani.
pystyisköhän	pysty-is-kö-hän	4	Pystyisköhän hän auttamaan minua tässä projektissa?
raha-asioiden	raha-asio-i-den	4	Hän on erittäin taitava raha-asioiden kanssa.
säännönmukaisuuksia	säännön-mukaisuuks-i-a	4	Tutkimuksessa havaittiin useita säännönmukaisuuksia ilmiöiden välillä.
sanoiskohan	sano-is-ko-han	4	Sanoiskohan hän minulle totuuden, jos kysyisin suoraan?
sanotaanpas	sano-taan-pa-s	4	Sanotaanpas, että meillä on kaikki tarvittava onnistuneeseen päivään.
silmiään	silm-i-ä-än	4	Hän hieroi väsyneitä silmiään.
siskollaankin	sisko-lla-an-kin	4	Hänen siskollaankin on enemmän rahaa kuin minulla.
suomalaisäänestäjistä	suomalai-säänestäj-i-stä	4	Suomalaisäänestäjistä suurin osa kannattaa ympäristönsuojelua.
täyttäviä	täyttä-v-i-ä	4	Etsin täyttäviä aterioita pitkälle työpäivälle.
tiedätteköhän	tiedä-tte-kö-hän	4	Tiedätteköhän, missä lähin ruokakauppa on?
tietoverkkojen	tieto-verkko-j-en	4	Tietoverkkojen turvallisuus on nyky-yhteiskunnassa erittäin tärkeää.
tilintarkastustuomioistuimeen	tilin-tarkastustuomio-istuime-en	4	Hän jätti valituksen tilintarkastustuomioistuimeen.
tulkaapas	tul-kaa-pa-s	4	Tulkaapas tänne, minulla on teille jotain näytettävää.
unohtuukohan	unohtu-u-ko-han	4	Unohtuukohan taas avaimet kotiin?
vaaliuurnilta	vaali-uurn-i-lta	4	Iltaan mennessä äänestäjät olivatkin jo kaikonneet vaaliuurnilta.
vaikutusvaltaisimman	vaikutus-valtais-imma-n	4	Hän on maamme vaikutusvaltaisimman yrityksen toimitusjohtaja.
yliopistojen	yli-opisto-j-en	4	Yliopistojen rooli yhteiskunnassa on erittäin tärkeä.
ehtisinköhän	eht-isi-n-kö-hän	5	Ehtisinköhän vielä käydä kaupassa ennen junan saapumista?
heräsinköhän	heräs-i-n-kö-hän	5	Herasinköhän liian aikaisin tänä aamuna?
innostuinpas	innostu-i-n-pa-s	5	Innostuinpas todella uudesta harrastuksestani.
johtuneekohan	johtu-ne-e-ko-han	5	Johtuneekohan tämä viivästys huonosta säästä?
kaksitasokuvauksiaan	kaksi-tasokuvauks-i-a-an	5	Taiteilija esitteli uusimpia kaksitasokuvauksiaan näyttelyssä.
kallistuvatkohan	kallistu-va-t-ko-han	5	Kallistuvatkohan nuo puut tuulen mukana?
käsititköhän	käsit-i-t-kö-hän	5	Käsititköhän, mitä hän juuri sanoi?
kokeilinkohan	kokeil-i-n-ko-han	5	Kokeilinkohan uutta reseptiä jo viime viikolla?
kuorsaavatkohan	kuorsaa-va-t-ko-han	5	Kuorsaavatkohan he kovaa yöllä?
lähtökohdistaan	lähtö-kohd-i-sta-an	5	Jokainen ihminen tarkastelee maailmaa omista lähtökohdistaan.
lapsillaankaan	laps-i-lla-an-kaan	5	Lapsillaankaan ei ole ratkaisuja kaikkiin ongelmiin.
leikkivätköhän	leikki-vä-t-kö-hän	5	Leikkivätköhän lapset jo ulkona?
löytäisinköhän	löytä-isi-n-kö-hän	5	Löytäisinköhän avaimeni tästä sotkusta?
mahtaisinkohan	mahta-isi-n-ko-han	5	Mahtaisinkohan löytää paremman työpaikan, jos muuttaisin toiseen kaupunkiin?
mahtoivatkohan	mahto-i-vat-ko-han	5	Mahtoivatkohan he ymmärtää ohjeet oikein?
mielipiteitään	mieli-pite-i-tä-än	5	Hän ei pelkää ilmaista mielipiteitään avoimesti.
millaisillakohan	millais-i-lla-ko-han	5	Millaisillakohan perusteilla he valitsivat uuden johtajan?
muuttuvatkohan	muuttu-va-t-ko-han	5	Muuttuvatkohan sääolosuhteet huomenna paremmiksi?
näitköhän	nä-i-t-kö-hän	5	Näitköhän sinä minun avaimeni?
napsautinpas	napsaut-i-n-pa-s	5	Napsautinpas sähköpostin auki uteliaisuudesta.
ohjauskorkojaan	ohjaus-korko-j-a-an	5	Euroopan keskuspankki on päättänyt nostaa ohjauskorkojaan inflaation hillitsemiseksi.
olinkohan	ol-i-n-ko-han	5	Olinkohan liian ankara hänelle?
olinpas	ol-i-n-pa-s	5	Olinpas onnellinen, kun sain uuden työpaikan.
olisivatkohan	ol-isi-vat-ko-han	5	Olisivatkohan he jo lähteneet kotiin?
olitkohan	ol-i-t-ko-han	5	Olitkohan sinä eilen kaupungilla?
olivatkohan	ol-i-vat-ko-han	5	Olivatkohan he jo lähteneet kotiin?
osaavatkohan	osaa-va-t-ko-han	5	Osaavatkohan he puhua suomea?
osaisinkohan	osa-isi-n-ko-han	5	Osaisinkohan minä koskaan oppia soittamaan pianoa?
osaisitkohan	osa-isi-t-ko-han	5	Osaisitkohan sinä auttaa minua tämän tehtävän kanssa?
osasinkohan	osas-i-n-ko-han	5	Osasinkohan selittää asian tarpeeksi selkeästi?
osasinpas	osas-i-n-pa-s	5	Osasinpas vain puhua suomea paremmin.
päädyinköhän	päädy-i-n-kö-hän	5	Päädyinköhän todella tänne ilman karttaa?
pääsisinköhän	pääs-isi-n-kö-hän	5	Pääsisinköhän huomenna jo töistä aikaisemmin kotiin?
pelkäävätköhän	pelkää-vä-t-kö-hän	5	Pelkäävätköhän lapset pimeää?
perustuslakivaliokunnan	perustus-laki-valio-kunna-n	5	Perustuslakivaliokunnan tehtävä on tarkastella lakiehdotusten perustuslainmukaisuutta.
pystyisinköhän	pysty-isi-n-kö-hän	5	Pystyisinköhän tekemään tämän työn yksin?
saattaisinpas	saatta-isi-n-pa-s	5	Jos olisin tiennyt, saattaisinpas toimia toisin.
saavatkohan	saa-va-t-ko-han	5	Saavatkohan he koskaan tietää totuuden?
sainkohan	sa-i-n-ko-han	5	Sainkohan minä kaikki tarvittavat tiedot?
sainpas	sa-i-n-pa-s	5	Sainpas vihdoin tuon työprojektin valmiiksi.
saitkohan	sa-i-t-ko-han	5	Saitkohan sinä sen kirjeen, jonka lähetin?
sanoinkohan	sano-i-n-ko-han	5	Sanoinkohan sen oikein?
selviävätköhän	selviä-vä-t-kö-hän	5	Selviävätköhän he tästä tilanteesta?
selviytyisivätköhän	selviyty-isi-vät-kö-hän	5	Mietin, selviytyisivätköhän he tästä haasteesta.
soolokeikoillaankin	soolokeiko-i-lla-an-kin	5	Muusikko esiintyy soolokeikoillaankin suurella intohimolla.
suunnittelevatkohan	suunnittele-va-t-ko-han	5	Suunnittelevatkohan he matkaa ulkomaille ensi kesänä?
syyskuussakohan	syys-kuu-ssa-ko-han	5	Syyskuussakohan se uusi lukukausi alkaa?
tajusivatkohan	tajus-i-vat-ko-han	5	Tajusivatkohan he mitä oikein tapahtui?
tarvinneekohan	tarvin-ne-e-ko-han	5	Tarvinneekohan meidän ostaa lisää maitoa kaupasta?
tietokoneohjelmien	tieto-kone-ohjelm-i-en	5	Hän on erikoistunut tietokoneohjelmien kehittämiseen.
tulinpas	tul-i-n-pa-s	5	Tulinpas myöhään kotiin eilen illalla.
ulkoasiainvaliokunnan	ulko-asiain-valio-kunna-n	5	Hän on ulkoasiainvaliokunnan uusi jäsen.
unohtivatkohan	unoht-i-vat-ko-han	5	Unohtivatkohan he avaimet kotiin?
väitöskirjantekijöiden	väitös-kirja-ntekijö-i-den	5	Väitöskirjantekijöiden työ on usein pitkä ja monimutkainen prosessi.
